$GPRMC,173944,A,2339.609293,S,04631.814284,W,003.27,24.0,190723,17.8,W,A*35
$GPRMC,173944,A,2339.609136,S,04631.814206,W,003.22,25.4,190723,17.8,W,A*33
$GPRMC,173945,A,2339.608980,S,04631.814134,W,003.17,25.5,190723,17.8,W,A*33
$GPRMC,173945,A,2339.608820,S,04631.814060,W,003.22,25.7,190723,17.8,W,A*3C
$GPRMC,173945,A,2339.608657,S,04631.813988,W,003.24,25.1,190723,17.8,W,A*3A
$GPRMC,173945,A,2339.608491,S,04631.813916,W,003.26,23.6,190723,17.8,W,A*36
$GPRMC,173945,A,2339.608329,S,04631.813838,W,003.25,24.2,190723,17.8,W,A*3F
$GPRMC,173946,A,2339.608166,S,04631.813751,W,003.26,24.9,190723,17.8,W,A*3D
$GPRMC,173946,A,2339.607999,S,04631.813661,W,003.33,25.7,190723,17.8,W,A*33
$GPRMC,173946,A,2339.607834,S,04631.813580,W,003.33,25.7,190723,17.8,W,A*39
$GPRMC,173946,A,2339.607664,S,04631.813502,W,003.37,25.1,190723,17.8,W,A*3A
$GPRMC,173946,A,2339.607494,S,04631.813428,W,003.36,24.5,190723,17.8,W,A*3A
$GPRMC,173947,A,2339.607321,S,04631.813347,W,003.38,26.2,190723,17.8,W,A*37
$GPRMC,173947,A,2339.607152,S,04631.813267,W,003.34,26.6,190723,17.8,W,A*3A
$GPRMC,173947,A,2339.606989,S,04631.813193,W,003.20,26.7,190723,17.8,W,A*39
$GPRMC,173947,A,2339.606826,S,04631.813119,W,003.15,26.6,190723,17.8,W,A*38
$GPRMC,173947,A,2339.606667,S,04631.813044,W,003.09,26.8,190723,17.8,W,A*39
$GPRMC,173948,A,2339.606506,S,04631.812967,W,003.11,26.2,190723,17.8,W,A*38
$GPRMC,173948,A,2339.606355,S,04631.812892,W,003.00,26.8,190723,17.8,W,A*39
$GPRMC,173948,A,2339.606213,S,04631.812820,W,002.83,27.7,190723,17.8,W,A*37
$GPRMC,173948,A,2339.606072,S,04631.812747,W,002.75,27.4,190723,17.8,W,A*36
$GPRMC,173948,A,2339.605929,S,04631.812681,W,002.77,25.5,190723,17.8,W,A*38
$GPRMC,173949,A,2339.605783,S,04631.812612,W,002.84,24.7,190723,17.8,W,A*32
$GPRMC,173949,A,2339.605641,S,04631.812530,W,002.86,25.9,190723,17.8,W,A*33
$GPRMC,173949,A,2339.605498,S,04631.812459,W,002.83,25.2,190723,17.8,W,A*35
